country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Italy,ITA,2010,Europe,0.6985852137242794,0.7480264697301369,0.4834966942085664,0.777,0.847512402657168,34.7,7.2413816
Italy,ITA,2015,Europe,0.7063332727740377,0.7829529708602101,0.4761657256470008,0.794,0.8408612683444836,35.4,5.9635468
Italy,ITA,2020,Europe,0.6947238935158734,0.7706687368635817,0.46483885569674854,0.779,0.8347209626902318,35.2,5.0506783
Japan,JPN,2010,Asia,0.810487138219634,0.824476185800386,0.7728307847321867,0.771,0.8783499926152091,31.5,9.447968
Japan,JPN,2015,Asia,0.8044911127780082,0.9756049692332883,0.6563623391485807,0.737,0.8875643654561335,30.7,9.58534
Japan,JPN,2020,Asia,0.8567357915140207,1.0,0.8186999684260955,0.743,0.885674325226382,32.3,8.212569
Kenya,KEN,2005,Africa,0.2738257825760048,0.2047113772694304,0.21521452585287934,0.335,0.380924566793314,46.4,0.23617308
Kenya,KEN,2015,Africa,0.3028785220081351,0.24775301862473825,0.20174995385590977,0.401,0.41985288142492505,40.8,0.3230555
Kenya,KEN,2020,Africa,0.30731149285885306,0.25601422932356954,0.21640227040426915,0.374,0.43044502242686367,36.2,0.3828149
Malaysia,MYS,1995,Asia,0.3386804658737592,0.3927296298784267,0.30612279978458756,0.158,0.692650515905266,48.5,5.390652
Malaysia,MYS,2015,Asia,0.4139533090108869,0.4506689734525781,0.41397019727320694,0.202,0.7791612193726718,41.1,7.554295
Mexico,MEX,2000,North America,0.4345009686279222,0.416366688309336,0.28302101618716746,0.435,0.6953109625173526,53.4,3.968903
Mexico,MEX,2005,North America,0.4662609399393389,0.43391248209880734,0.3077128263623069,0.508,0.6967944525268295,50.9,4.379822
Mexico,MEX,2010,North America,0.454048093898941,0.42974567834621624,0.3076663146143065,0.462,0.6957832739617229,47.7,4.0168395
Mexico,MEX,2020,North America,0.4346674723963298,0.353400326888842,0.35221955662736776,0.412,0.6960668288366536,44.6,3.382808
Morocco,MAR,1990,Africa,0.19989559733354031,0.2535832397161768,0.06880580652295702,0.173,0.5289579841907384,39.2,0.9147687
Morocco,MAR,2000,Africa,0.2483398587984327,0.30477434704865364,0.1045946176583543,0.217,0.5498424161911653,40.6,1.1680162
Netherlands,NLD,1990,Europe,0.629735956161841,0.5020577736591396,0.45795895972871165,0.817,0.8372046877638457,31.1,10.846517
Netherlands,NLD,2005,Europe,0.6875633307202754,0.5907346165606205,0.5222404062944912,0.817,0.886677889584865,29.0,10.818227
