year,row_variable,row_label,col_variable,col_label,correlation,abs_correlation
2010,democracy,Democracia,gini,Desigualdad (Gini),-0.2862819585231302,0.2862819585231302
2010,democracy,Democracia,co2_per_capita,CO₂ per cápita,0.6148355849292941,0.6148355849292941
2010,gdp,PIB per cápita,ahdi,AHDI,0.9521395194660303,0.9521395194660303
2010,gdp,PIB per cápita,life_exp,Esperanza de vida,0.9013925945488328,0.9013925945488328
2010,gdp,PIB per cápita,schooling,Educación,0.8310256719925947,0.8310256719925947
2010,gdp,PIB per cápita,democracy,Democracia,0.8628994578850795,0.8628994578850795
2010,gdp,PIB per cápita,gdp,PIB per cápita,1.0,1.0
2010,gdp,PIB per cápita,gini,Desigualdad (Gini),-0.31244081643352517,0.31244081643352517
2010,gdp,PIB per cápita,co2_per_capita,CO₂ per cápita,0.7433876698310633,0.7433876698310633
2010,gini,Desigualdad (Gini),ahdi,AHDI,-0.3927408691939655,0.3927408691939655
2010,gini,Desigualdad (Gini),life_exp,Esperanza de vida,-0.3624869776168274,0.3624869776168274
2010,gini,Desigualdad (Gini),schooling,Educación,-0.4368118455376568,0.4368118455376568
2010,gini,Desigualdad (Gini),democracy,Democracia,-0.2862819585231302,0.2862819585231302
2010,gini,Desigualdad (Gini),gdp,PIB per cápita,-0.31244081643352517,0.31244081643352517
2010,gini,Desigualdad (Gini),gini,Desigualdad (Gini),1.0,1.0
2010,gini,Desigualdad (Gini),co2_per_capita,CO₂ per cápita,-0.3294948911749111,0.3294948911749111
2010,co2_per_capita,CO₂ per cápita,ahdi,AHDI,0.7454452713750402,0.7454452713750402
2010,co2_per_capita,CO₂ per cápita,life_exp,Esperanza de vida,0.6604550554386247,0.6604550554386247
2010,co2_per_capita,CO₂ per cápita,schooling,Educación,0.7873100057757909,0.7873100057757909
2010,co2_per_capita,CO₂ per cápita,democracy,Democracia,0.6148355849292941,0.6148355849292941
2010,co2_per_capita,CO₂ per cápita,gdp,PIB per cápita,0.7433876698310633,0.7433876698310633
2010,co2_per_capita,CO₂ per cápita,gini,Desigualdad (Gini),-0.3294948911749111,0.3294948911749111
2010,co2_per_capita,CO₂ per cápita,co2_per_capita,CO₂ per cápita,1.0,1.0
2015,ahdi,AHDI,ahdi,AHDI,1.0,1.0
2015,ahdi,AHDI,life_exp,Esperanza de vida,0.8825242431590402,0.8825242431590402
2015,ahdi,AHDI,schooling,Educación,0.8820097204351095,0.8820097204351095
2015,ahdi,AHDI,democracy,Democracia,0.8899296668829368,0.8899296668829368
2015,ahdi,AHDI,gdp,PIB per cápita,0.9090564683594046,0.9090564683594046
2015,ahdi,AHDI,gini,Desigualdad (Gini),-0.4471009670361064,0.4471009670361064
2015,ahdi,AHDI,co2_per_capita,CO₂ per cápita,0.6972280282476767,0.6972280282476767
2015,life_exp,Esperanza de vida,ahdi,AHDI,0.8825242431590402,0.8825242431590402
2015,life_exp,Esperanza de vida,life_exp,Esperanza de vida,1.0,1.0
2015,life_exp,Esperanza de vida,schooling,Educación,0.7399531550110828,0.7399531550110828
2015,life_exp,Esperanza de vida,democracy,Democracia,0.6831949020672367,0.6831949020672367
2015,life_exp,Esperanza de vida,gdp,PIB per cápita,0.9019287712091629,0.9019287712091629
